sample,condition
I0774,IFNB
I0785,IFNB
I0861,IFNB
I0803,Th17
I0885,Th17
I0740,Resting
I0846,Resting
I0851,Resting
I0761,Th2
I0787,Th2
I0838,Th2
I0734,Th0
I0745,Th0
I0769,Th0
I0847,Th0
I0848,Th0
I0883,Th0
I0766,iTreg
I0828,iTreg
I0884,iTreg
I0843,Th1
I0863,Th1
I0875,Th1
