gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
MASP2,7.889924345,7.576942797,7.721770054,7.231954574,7.788549974,8.908150017,9.442612392,9.079708668,7.500941844,7.805325724,7.44580331,7.581507633,7.240348802,7.552786886,7.846692745,7.639678807,7.9277359,7.531330216,7.802622864,7.798375849,8.058028086,7.624575034,6.924989184
FAM76A,8.87725216,8.886985567,8.785044096,8.887137936,8.610853695,9.24473562,9.635552017,9.487613351,8.724377427,8.763049402,8.744883168,8.841189989,8.762263991,8.591622967,8.740410565,8.655446943,8.570636295,8.791943732,8.914050788,8.68759636,8.479340261,8.671643547,8.528064045
TRAF3IP3,10.34505259,10.68183158,10.71585712,11.09281561,10.98234495,12.81607158,12.67337329,12.72241236,11.413253,11.24153096,11.27290458,11.29461803,11.28295126,11.44950534,11.1483061,11.35285965,11.16723628,10.46694723,11.36355658,11.39700557,11.16624735,11.4455372,10.90734373
SPRTN,8.965221701,9.175499093,9.082675012,9.174875524,8.804602496,8.698902753,8.503708154,8.862967599,8.974464277,8.760538627,9.102238941,9.256775096,9.151202526,8.931220489,8.732006255,9.170651299,8.824625914,8.56131043,9.093921353,9.068447969,8.889522298,8.958524914,9.182352433
EEF1AKNMT,11.32525554,11.40777041,11.23429978,11.19451021,11.29914105,10.32785361,9.933616897,10.11467341,11.35580427,11.31352481,11.24321997,11.11925904,11.13858614,11.37800422,11.35603822,11.33007128,11.26923458,10.8430177,11.13175079,11.14150732,11.21044757,11.36664898,11.18755927
SCMH1,9.842459982,9.664605417,9.745160903,9.786678876,10.12786772,9.689392333,9.586937613,9.622408635,9.912220765,10.20187568,9.763315689,9.694609978,9.720625727,9.827080338,10.0815091,9.732484233,10.04745982,9.596839929,9.808624925,9.777137378,10.19604823,9.842914484,9.619942953
ELOA,11.66247689,11.80176514,11.63241864,11.60947988,11.66809468,10.56882203,10.33242205,10.24453402,11.61690867,11.66921747,11.6647048,11.61016356,11.56981708,11.72161364,11.65114929,11.66151932,11.52250626,11.34253729,11.54271819,11.39822778,11.6251657,11.6002201,11.53374362
LYPLA2,11.26382886,11.35868371,11.47115912,11.57802948,11.7490108,10.70042197,10.40276793,10.53229049,11.60243005,11.76908549,11.62907829,11.38869863,11.4892604,11.73434861,11.79727211,11.64314827,11.70006181,11.51612551,11.58526154,11.44628611,11.58961195,11.70874526,11.60594809
CLCN6,9.739090175,9.651445894,9.641952583,9.493834549,10.02020822,10.18476758,10.31925504,9.548639502,9.450070236,10.12783133,9.758827087,9.675228264,9.511930068,9.436579554,9.987553052,9.454367916,10.13156059,10.61173321,9.908154955,9.906453368,10.16925508,9.531466529,9.194647843
NCDN,10.9985244,11.10024716,11.15640186,11.15416617,11.27555172,10.06306913,10.08909561,9.914382394,11.20104591,11.3607048,11.25336014,10.97612759,10.97354458,11.41419769,11.29957291,11.30107011,11.25299994,10.38374251,11.06208056,11.03788908,11.21945393,11.32987765,10.94130525
RUNX3,14.9570986,14.6727774,14.74663148,14.48729021,14.81742788,13.11357683,13.1950326,13.26494356,14.3589074,14.79838443,14.41606294,14.27095979,14.21441995,14.46414604,14.76215286,14.3616217,14.70377945,13.74281663,14.42236122,14.22923085,14.78102659,14.53196446,14.3435782
GLRX2,7.335760138,7.678461447,7.776304046,8.20315651,7.452229869,7.266939842,7.163248872,7.201185961,7.84960813,7.435222097,8.016446346,8.226737964,8.221231069,7.567554172,7.495916017,7.867766392,7.513583336,7.936304809,7.91710851,7.834939534,7.525258465,7.890060809,8.037472837
PLEKHO1,10.84329985,11.1269034,10.98920096,11.1144521,10.98416524,12.86423298,12.66515751,12.90638685,10.95755017,11.08175991,11.04242186,10.98886439,11.01349461,11.13817528,11.11475954,10.95471127,11.05747436,12.07979476,11.20593687,10.97866193,10.79446668,10.99613552,10.89156972
GCLM,11.53468444,11.29711081,11.72395307,11.24769333,11.24475303,9.70514866,9.588767665,9.831676875,11.43964209,10.9893577,11.04057402,11.18134485,10.83591641,11.38218687,11.08124165,11.38822083,11.07512707,10.43462352,11.13112667,11.45570862,11.18475928,11.42940582,11.13748639
KPNA6,12.23164435,12.2517641,12.22252705,12.16788918,12.27327365,11.48290185,11.58349702,11.36687428,12.27870995,12.25984653,12.21925884,12.13648327,12.17748631,12.21715648,12.18135139,12.1957115,12.2500075,11.77873766,12.19252263,12.16940841,12.25828615,12.29781029,12.13008461
SLAMF7,12.71831748,13.11542649,11.91878242,11.50003852,11.39735389,11.35237126,11.10846528,9.995528014,10.12975534,11.00694135,11.57945813,12.21291871,12.02155964,10.57420199,11.29458784,10.54933842,11.15068168,11.93404773,11.73324663,10.23940424,11.39665607,10.75671691,12.16799274
SH2D2A,11.89896652,12.07276341,11.71699961,12.51424228,12.44831248,10.7786845,10.36268566,10.72174366,12.09168427,12.54722627,12.46523301,12.28747261,12.2544157,12.2033349,12.51348111,12.14220815,12.37491369,11.3664212,12.58729833,12.09410357,12.31744114,12.08112829,12.24568042
TNFRSF1B,13.46768221,13.67151896,13.55388497,13.69678712,13.70975595,12.95838929,12.50382109,12.50945508,13.62188405,13.7152177,13.70003683,13.61422638,13.64621655,13.73473974,13.74915311,13.67056126,13.66399041,13.89861399,13.73610589,13.52092537,13.69129796,13.7183153,13.65064083
