ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
MIR155HG,8.973242847333339,15.106836222416668,62.44328058012527,2.43167069361107e-24,2.8562403967155624e-20,45.31589931509184
EPOP,6.804412179000002,11.9856709695,58.192161537857075,9.84413757696311e-24,5.781461998950434e-20,44.08289516065648
BCL2L1,5.3204883383333375,12.960775797708333,56.299839080288116,1.8956067470071524e-23,7.421932283448671e-20,43.4958858815497
IRF4,5.688689835000005,15.631847196666667,53.25505294368537,5.702763486647092e-23,1.6746164978539186e-19,42.49687753627197
MTHFD1L,5.32747933833333,12.839373682708333,48.46519826164366,3.682059755495989e-22,8.037796474843979e-19,40.772997505336846
PYCR1,6.6123245880000034,11.527546140041666,48.19896005395597,4.105804431216063e-22,8.037796474843979e-19,40.67116031122052
SLC1A5,5.906625909000004,12.927700714083333,47.52503131889215,5.423829514818908e-22,8.582500167642468e-19,40.41033969822318
SNHG3,2.9961134066666695,12.869114737083333,47.3454222514796,5.845394290919441e-22,8.582500167642468e-19,40.34008202500496
DUSP4,6.885633094000002,13.660650950541667,44.31310659019143,2.1613669706607362e-21,2.8208240485978896e-18,39.10401598867425
DUSP5,5.5092447070000015,10.903834802875,42.551047016857225,4.814208601616713e-21,5.654769423458991e-18,38.33941623815838
IARS1,3.0093754550000007,14.423065992083334,42.33440146823654,5.324233916233259e-21,5.685313780006897e-18,38.242889468564755
RBBP8,4.196069034000001,10.26802464825,42.001975048806464,6.219977571726252e-21,6.08832137979138e-18,38.09366781485102
NDFIP2,6.478073938999998,12.869737395125,41.64021210395762,7.376954663104028e-21,6.665362267139993e-18,37.92973184809297
ENO1,4.048469970000001,16.651655308333332,41.25419807189765,8.863998177695635e-21,7.436894471086637e-18,37.75300147962197
TWNK,3.223233476333334,11.5502352415,40.61431569624783,1.206296620730507e-20,9.446106738067025e-18,37.45585176636973
TNFRSF4,6.7395471890000005,12.171321182,40.00944562743998,1.6213029504324236e-20,1.190239028486203e-17,37.17003681072683
