ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
MIR155HG,9.134839037333336,15.106836222416668,55.051330665618764,2.9561327277756064e-23,3.472273502045227e-19,42.789014534605336
EPOP,6.6723316740000005,11.9856709695,49.417655122563424,2.5056443193029227e-22,1.4715649087266064e-18,40.901304233948736
IRF4,5.94202408666667,15.631847196666667,48.174099474521235,4.147905087635772e-22,1.624043105312326e-18,40.44710260132836
BCL2L1,5.148980711666667,12.960775797708333,47.18539060610957,6.250007586630885e-22,1.8353147278141594e-18,40.07532071135227
MTHFD1L,5.324006078333333,12.839373682708333,41.944729110504646,6.389560422147743e-21,1.5010355343709476e-17,37.93037655762902
SLC1A5,5.939293557333334,12.927700714083333,41.385515460272316,8.325631320544568e-21,1.5749946487248e-17,37.682485084948404
PYCR1,6.516181259666666,11.527546140041666,41.13460127281993,9.386142125892729e-21,1.5749946487248e-17,37.569961274290776
SNHG3,2.950095953333335,12.869114737083333,40.372581488006595,1.356897872433977e-20,1.9922653012011867e-17,37.22318780709218
NDFIP2,6.885464715666668,12.869737395125,38.32930293909676,3.7735228859172413e-020,4.9248666464426574e-17,36.25412641217487
RBBP8,4.326593514000001,10.26802464825,37.50626472129504,5.784009689918622e-20,6.717918387095162e-17,35.84670983593703
IARS1,3.0654904100000007,14.423065992083334,37.34630529119169,6.291256790230443e-20,6.717918387095162e-17,35.766333846048525
DUSP4,6.5931962056666675,13.660650950541667,36.746413007979626,8.650130308467126e-20,7.988296283021472e-17,35.461351611222945
TSPAN32,-3.963170871666666,6.402124206083333,-36.70561210122197,8.84112478114074e-20,7.988296283021472e-17,35.44040236991246
ARHGAP31,3.602520706333335,10.655272550875,36.29887483812295,1.1005882246334198e-19,9.233935204674392e-17,35.23010166475916
MTHFD2,5.568025683333332,13.560846858333333,35.43095979674181,1.770519492398415e-19,1.2918060143127346e-16,34.77227334530622
DUSP5,5.288974713666668,10.903834802875,35.376943676630795,1.8243696490507637e-19,1.2918060143127346e-16,34.74336173862978
TWNK,3.237876614666664,11.5502352415,35.332820097850075,1.8696324062077717e-19,1.2918060143127346e-16,34.719708081019654
ENO1,3.97895065,16.651655308333332,35.11368522789419,2.1125508748759987e-19,1.3785568097940823e-16,34.60174002706385
PLAGL2,4.2910526900000026,13.785848420416666,34.861820986947215,2.4332102602461514e-19,1.4656273506380868e-16,34.46512610784913
TTC27,2.4148719356666675,11.328692103041666,34.81692960202675,2.4955343957740285e-19,1.4656273506380868e-16,34.440660227030655
PUS7,4.547497784333332,11.564652455708334,34.669434314260435,2.7123719244781894e-19,1.517120029758134e-16,34.36002540148686
PPIL1,3.039389635666666,11.315478734291666,33.93707393883281,4.1234439382320715e-19,2.2015442044760868e-16,33.95388668028728
IL12RB2,6.65112624,11.707092178749999,33.360566401062115,5.769668693918969e-19,2.946544716468357e-16,33.627255168926425
TNFRSF4,6.466928640666668,12.171321182,33.24761644589998,6.166223667614814e-19,3.01785263332515e-16,33.562528445881114
CD274,4.816616282000001,11.762036063083334,33.11465040984466,6.669989928157517e-19,3.1338280678455277e-16,33.486019122207104
BCL2A1,4.714550615333335,11.825533463916667,32.8742833149198,7.693369674967276e-19,3.475627700083293e-16,33.34684615026535
UTP4,3.1971431193333295,12.689850984666666,32.597982160859225,9.07650077963545e-19,3.9486140058369624e-16,33.18547554786913
IRF8,7.6666223253333365,13.378212400583333,32.355542318187716,1.0505244704965512e-18,4.324929470087065e-16,33.042637970496784
CHSY1,3.3078047920000007,12.471003675166667,32.28465684045805,1.0966187144604454e-18,4.324929470087065e-16,33.00065260769893
FABP5,6.246781186666668,11.33102036625,32.27268109346606,1.1046133500988587e-18,4.324929470087065e-16,32.99354941321209
ESPL1,3.917393191333331,9.289555726791667,31.992677170454872,1.3100624115233366e-18,4.963868737339713e-16,32.82664262978302
WDR43,3.375291383333334,13.54978941375,31.639604971931693,1.6278008551022312e-18,5.975046513759627e-16,32.61389056277484
RRAS2,3.5270641859999996,10.746472534666667,31.572937812122568,1.6963773072741069e-18,6.038075106436866e-16,32.573428166282824
RANBP1,3.062365752333335,12.648545023875,31.518519304237866,1.7545996103391837e-18,6.0616255950129565e-16,32.54033083778093
TNFSF14,5.898665309666668,12.415435160458333,31.467679697867833,1.8108887960505336e-18,6.076246090599492e-16,32.50935395761434
DDX21,4.324790073333334,15.50225827125,31.422680694975707,1.8622923485576515e-18,6.076246090599492e-16,32.481890339272134
IL2RA,7.883154756666671,13.654316530416667,31.377244975596508,1.915750372522622e-18,6.081730777202897e-16,32.45411676246432
SCD,3.7059694339999982,11.7971014145,31.147173167780043,2.2122842765966424e-18,6.83828713497478e-16,32.31280635677594
PNPT1,2.728325736666667,12.5534783125,31.091621376030872,2.2908615496242992e-18,6.899605067150517e-16,32.27851658870424
STX11,3.6588417203333323,10.729098444125,30.895737019431017,2.5921288201805082e-18,7.611786280460062e-16,32.15707354161855
PFAS,3.2942925229999993,12.475251765041667,30.74660092754856,2.8492360921821762e-18,8.162713936285816e-16,32.06405312638552
SLC29A1,6.462870962000003,11.814416496,30.641346870416392,3.046706394309519e-18,8.513579901339344e-16,31.99810920082726
METTL1,3.9737946486666678,10.103085673083333,30.60576441436739,3.1166689575820858e-18,8.513579901339344e-16,31.975760695852784
NPM3,3.1516493580000002,10.922009034833334,30.523455077393038,3.2850443603904096e-18,8.659697068417933e-16,31.923956524012198
ODC1,5.037597660000003,14.58869169375,30.49678284666005,3.3416320351510385e-18,8.659697068417933e-16,31.907137124612788
HOMER1,4.174996327666668,10.311516069041668,30.470156564635708,3.3991431049741687e-18,8.659697068417933e-16,31.890330875885297
UCK2,5.573822221666667,10.944105803958333,30.44021454709111,3.4650584217235044e-18,8.659697068417933e-16,31.871412849811506
TAGAP,3.5278147733333345,13.49903212375,30.40331677177926,3.548135654893002e-18,8.682583625494418e-16,31.848072427076886
POLR3B,2.6021551856666676,10.436422162625,30.298244984466532,3.7963591592383346e-18,9.100415241717038e-16,31.781439698064936
TGS1,2.338810928999999,12.122681443875,30.18744287518237,4.07795106492786e-18,9.57992264172853e-16,31.71090311760227
VARS1,2.999699573333336,12.755170880416667,29.88799724343255,4.9541907660287466e-18,1.141018132113209e-15,31.518875816706434
LMNA,4.251646963000001,12.250622145458333,29.79335673234421,5.270571982161873e-18,1.1905411250475646e-15,31.457755701551008
WDR12,3.6511882776666695,12.260694330708333,29.705429561876706,5.583533217032109e-18,1.2374373805143236e-15,31.400784540558803
ANP32A,1.8345768866666656,13.414489554166666,29.658221999213232,5.759547238316503e-18,1.2528081826160303e-15,31.37012256890899
C1orf109,2.345143858,11.076756199,29.592759913601608,6.01331378139847e-18,1.2842251577510258e-15,31.32751754562915
BANF1,2.368482840666667,11.4708712045,29.413246279085858,6.771240257664827e-18,1.4202676440451976e-15,31.210165071886372
POLR2K,2.1780686503333353,10.954724586208334,29.33341847029783,7.139876603710435e-18,1.47131562433654e-15,31.157733879087935
TAF4B,2.074891867333335,11.2121621345,29.22456953196692,7.676791037361248e-18,1.554682543531814e-15,31.08599584997564
WARS1,5.222518556333334,14.412906820458334,29.116181494855486,8.253669328557936e-18,1.6431796598854494e-15,31.01427823528641
SLC16A1,4.339407612666667,12.215246304666666,29.018458022245174,8.812810479419611e-18,1.725254531521046e-15,30.949373146061703
SLC7A5,7.0720195446666665,15.599645181083334,28.968275105073793,9.115250608026734e-18,1.7410954628429067e-15,30.91595274420292
MIX23,2.4085041043333337,10.287960603624999,28.956111326562134,9.19018548410184e-18,1.7410954628429067e-15,30.907842748657977
ATP1B3,3.494253620333337,13.064443964125001,28.776103805604336,1.0377931797361892e-17,1.934907728441473e-15,30.787401095421743
SRFBP1,2.888325121000001,10.709742571541668,28.691665881714194,1.0989569838849813e-17,2.016929489486405e-15,30.73062864748615
PRDX4,3.7024631293333314,10.93259934425,28.592774406653884,1.1754296895188448e-17,2.1120905404348015e-15,30.663912732325407
SDC4,4.094243539666668,9.920985539333333,28.578686799448448,1.1867697570977089e-17,2.1120905404348015e-15,30.654388822429404
"NAMPT",5.9206047139999995,14.850761031583334,28.517026791900097,1.2377713788583488e-17,2.148409008120607e-15,30.612645100554666
BOLA3,2.463536343666667,9.393492098291667,28.50996446352967,1.2437579818849077e-17,2.148409008120607e-15,30.607857821646043
ZFP36L2,-2.363915136666666,11.680387042083334,-28.433667907947093,1.3104041623486936e-17,2.230725694340254e-15,30.55605923714655
GART,2.433307956666667,12.8963593825,28.39184432870788,1.3485175672337294e-17,2.2628124778181982e-15,30.52760235718418
CDC14B,-2.7798177846666663,6.990999211375,-28.130669233214707,1.6143932389398197e-17,2.660872592894816e-15,30.348890811588895
SPON1,-4.50401787166667,8.460403561875,-28.11584300357812,1.6310473922052337e-17,2.660872592894816e-15,30.338693388583202
ETS2,2.725746335,12.137504201458333,28.037553981647584,1.7220272958232752e-17,2.7708126872246837e-15,30.284752395782967
YBX3,4.507232934666668,12.12226410525,27.87396884991909,1.9297449779361312e-17,3.063078987951054e-15,30.171528973013892
RPL22L1,3.2870140216666677,11.398374541875,27.838725380431562,1.9778436430320823e-17,3.0679324728490825e-15,30.147044153267537
EARS2,1.969891088999999,10.629153190958334,27.833529372311684,1.9850405920017902e-17,3.0679324728490825e-15,30.14343155696436
KPNA2,4.517720704333334,12.492770027791666,27.7796911301603,2.0612490178997614e-17,3.0852474894616985e-15,30.105958017180164
EZH2,3.7834198420000007,12.529375513916667,27.768921771318436,2.0768580695053905e-17,3.0852474894616985e-15,30.098452963286867
RCN1,3.666557305000002,10.797238606458333,27.75409770427367,2.0985470738944612e-17,3.0852474894616985e-15,30.08811722477253
PAICS,4.103519243333336,13.899407264583333,27.72016933052708,2.1490864999731584e-17,3.0852474894616985e-15,30.064439619659638
IL24,-4.195960752000002,8.009193237875,-27.71966463312037,2.1498478584780492e-17,3.0852474894616985e-15,30.064087176727732
PSMB3,2.6484365860000008,12.1836866405,27.717019949922115,2.153842109108286e-17,3.0852474894616985e-15,30.062240217603133
PARK7,2.0229475433333306,12.373873810416667,27.594175285568653,2.3482241603159023e-17,3.2951762961347168e-15,29.976245201488744
SPHK1,3.3741479136666657,9.114609031791666,27.589182913127498,2.3565027147566507e-17,3.2951762961347168e-15,29.97274190367539
KARS1,2.3392278300000005,13.822889112916666,27.563464646214836,2.3996375382485386e-17,3.3069538866050096e-15,29.954684087839766
EBNA1BP2,4.0414688053333325,12.527755505583333,27.542419810969026,2.4355499741601174e-17,3.3069538866050096e-15,29.939894532842693
USP6NL,2.470526306,9.514259957,27.529493614907253,2.457887263412405e-17,3.3069538866050096e-15,29.930804595079394
ADGRE4P,-3.289566595000002,6.657109559,-27.518221955486194,2.4775407970478533e-17,3.3069538866050096e-15,29.92287450753401
NOP16,4.0419672900000005,11.7833020625,27.49360104006227,2.5210458940822447e-17,3.3272140530213534e-15,29.90554081649941
CTTN,5.289866379333334,10.43330442675,27.4551216018509,2.5906509350843792e-17,3.3810873203890133e-15,29.87841782531101
DNAJA1,3.8917399999999986,14.025013705,27.418761053457654,2.6582769109787428e-17,3.4312220435556385e-15,29.852751782275206
CYCS,4.053145991999999,13.492391136,27.28796773150453,2.917250639230291e-17,3.724568044391195e-15,29.760132599458657
SCFD2,3.0589064363333334,10.271746220458333,27.23256130145644,3.034814740421345e-17,3.8156705818310485e-15,29.720757410089412
C1QBP,3.2613331100000025,13.610132759999999,27.213821590895282,3.0756935764412956e-17,3.8156705818310485e-15,29.707420886628142
JAK2,3.438316509333335,12.5211570855,27.198364247174393,3.1098468312701706e-17,3.8156705818310485e-15,29.69641311104973
MYOF,4.072194557333335,9.991481504083334,27.19445570003294,3.118545682409166e-17,3.8156705818310485e-15,29.693628647903566
NOP58,2.7632617633333325,13.791326105833333,27.033637529855373,3.49953222690573e-17,4.237680983220073e-15,29.578697642612063
DPP3,2.388225384,11.272353495333334,26.993885249451836,3.601034433514386e-17,4.316096985312243e-15,29.550178197112956
SLC38A5,4.44031164866667,12.181590710166667,26.925025720149293,3.78423247839138e-17,4.4898580496146615e-15,29.500672657432666
RPF2,4.093038301333332,11.984665676916666,26.906820206275604,3.83428346336787e-17,4.5037493560719e-15,29.48756203279489
NFKB1,3.750451513333335,14.942704925833333,26.82181294740805,4.0773482660102226e-17,4.7418349240154526e-15,29.42622195302831
SEC24D,2.1991941573333342,11.174908566583333,26.773414308008782,4.222907848031899e-17,4.8629681944100675e-15,29.39120773723498
PNPO,2.6632577580000003,10.4351156765,26.74865384834765,4.2994730082139454e-17,4.903068927619515e-15,29.37326921482866
ACOT7,3.519582158333332,10.359503503541667,26.668919001094743,4.556081267947119e-17,5.145743324356429e-15,29.315385226614502
MRTO4,3.8779601946666666,12.685701951916666,26.603105069442368,4.779979050666801e-17,5.3472032313459284e-015,29.267471638396593
PSMD14,3.5895767430000003,12.101201077958333,26.57957655971953,4.862797708540824e-17,5.388530366464201e-15,29.250312647586483
EGR2,5.168131557666668,12.107150214458333,26.478206521981438,5.237203334835128e-17,5.749176670184431e-15,29.17620437355899
MAN1A1,2.712052787666668,11.768874288625,26.444164241121168,5.3696200400072894e-17,5.839958980548668e-15,29.151251196634917
DCUN1D5,3.7240542209999976,11.514167210708333,26.416728871168875,5.478891244890175e-17,5.90413362958532e-15,29.13111668733189
CDC42SE1,-1.7605417699999997,12.6209607925,-26.344326453641592,5.778606930763635e-17,6.170501546249968e-15,29.077877198777337
IL15RA,3.5818953810000025,10.236759066541667,26.312585036597987,5.915379340106388e-17,6.2596437593594254e-15,29.05448908450012
TXN,4.056232345,12.495631721875,26.25270338277609,6.18273301848808e-17,6.450316321375023e-15,29.01028673468833
SOCS3,3.896141432666666,10.518475302583333,26.247752896641895,6.205395405375256e-17,6.450316321375023e-15,29.006627809079845
ADO,2.5325476620000007,11.398577656,26.2066923209905,6.396754587432992e-17,6.590901700349818e-15,28.976252230957243
PIGW,3.0039795956666673,10.451663787208334,26.19455954248121,6.454475332820257e-17,6.592544979070152e-15,28.967267290716144
XPO5,2.436972693333333,12.968063522083334,26.18086247188475,6.520295069357811e-17,6.602360852127314e-15,28.957118742621226
ARAP3,-3.9049141610000007,7.237546396,-26.101291708305144,6.916846348030657e-17,6.94404078666394e-15,28.898053802828066
MRPL22,1.8286160383333332,10.057522428958332,26.070758627213845,7.075656473568601e-17,7.043276350723456e-15,28.8753398859251
UTP11,3.5914474893333335,11.489545506333334,26.054623259165975,7.161120560983592e-17,7.068447236076746e-15,28.86332550470396
HNRNPF,1.9180428433333336,14.170480435833333,25.96103073859667,7.678676097064224e-17,7.516144119676366e-15,28.793484843491008
CISD1,2.8748587496666653,10.230721198375,25.93515861833147,7.828561927430377e-17,7.591936656389234e-15,28.774132724744177
CDK4,3.3110422106666686,11.956084925333332,25.92548732805551,7.88537606061201e-17,7.591936656389234e-15,28.766893574688467
TMEM204,-3.096857873000001,9.236338965041666,-25.890021526897304,8.097448420209211e-17,7.71495119861676e-15,28.740322893877938
HSPA9,3.3510665399999997,14.99043589625,25.873876859017777,8.195960834335904e-17,7.71495119861676e-15,28.728215020934073
POLR1A,3.0702358766666684,13.18355207125,25.871561774998845,8.210189850392432e-17,7.71495119861676e-15,28.726478160016228
SRGN,2.629418713333335,13.44530125375,25.82574268611396,8.497199034645732e-17,7.921277766741966e-15,28.69207002884093
TXNL4B,1.6468404606666667,10.450921453666666,25.791847594040327,8.716276892659595e-17,8.06152664418737e-15,28.666575829966362
ALOX15P1,-2.4213830406666688,6.3492005254583335,-25.77156167202122,8.850219515394101e-17,8.121459252173369e-15,28.651301271317486
ANKRD13B,4.449266541333333,10.176509915666667,25.739315315485364,9.067594613652893e-17,8.256431498602085e-15,28.626995463278014
ANKRD33B,2.8799142930000023,8.992348042125,25.71690939340804,9.221926474799136e-17,8.33236525946082e-15,28.61008846886694
HPRT1,2.760522469666668,11.246668137958334,25.629114574053805,9.853711405938433e-17,8.835243830088002e-15,28.543694270617785
CTSL,-4.053372946666668,8.801835166166667,-25.603674464997997,1.0045145183126009e-16,8.938657221287735e-15,28.52441169365391
TAP1,2.3211389366666655,13.955836990833333,25.533805386587996,1.059123663384985e-16,9.353734248210552e-15,28.471352357931572
ZNRF3,3.5323868463333357,9.408043899875,25.406584124958226,1.1667067695646183e-16,1.0226968444258214e-14,28.37435542763822
NOLC1,3.82567024666667,14.732701975833333,25.361312116248836,1.2077046897457463e-16,1.0507925396854471e-14,28.339718649617126
TUBA1C,4.954662400000002,12.5019956975,25.316563663467495,1.2497154906756673e-16,1.0793498642262051e-14,28.305420133153355
GPATCH4,3.218877872000002,12.046325591,25.238078615513366,1.3271418978929902e-16,1.1378546520183258e-14,28.245113230922477
RABGGTB,2.275216900000002,13.39153716625,25.195075936753042,1.3716826502728627e-016,1.1675206094279017e-14,28.211989099445155
